STATEN ISLAND,BROOKLYN,BRONX,MANHATTAN,QUEENS
457,3638,1510,4165,2777
319,2633,1126,2914,1949
285,2037,874,2243,1508
242,1614,714,1861,1423
219,1911,921,1847,1757
277,2066,924,1783,1972
473,3233,1393,2487,2936
744,4425,2098,3148,3946
1701,10039,4970,6968,9761
1452,10418,4313,8372,8881
1363,9643,3711,8807,7701
1478,9792,3765,9170,7969
1645,10513,4027,9400,8203
1706,11370,4278,9730,9008
2085,12419,4965,10737,10543
1922,11421,4218,8739,9476
2277,13530,5832,10800,11309
2179,12967,5540,10192,11009
1820,11450,4862,9499,9938
1506,9222,4078,8133,8005
1121,7939,3340,7078,6610
905,6457,2796,5844,5266
716,5619,2411,5293,4736
605,4385,1799,4614,3543
